1,"O1","","","",0.0000,0.0000,,
2,"AP","","","",35.0000,105.0000,,
3,"EU","","","",47.0000,8.0000,,
4,"AD","","","",42.5000,1.5000,,
5,"AE","","","",24.0000,54.0000,,
6,"AF","","","",33.0000,65.0000,,
7,"AG","","","",17.0500,-61.8000,,
8,"AI","","","",18.2500,-63.1667,,
9,"AL","","","",41.0000,20.0000,,
10,"AM","","","",40.0000,45.0000,,
11,"AN","","","",12.2500,-68.7500,,
12,"AO","","","",-12.5000,18.5000,,
13,"AQ","","","",-90.0000,0.0000,,
14,"AR","","","",-34.6033,-58.3817,,
15,"AS","","","",-14.3333,-170.0000,,
16,"AT","","","",48.2000,16.3667,,
17,"AU","","","",-33.4940,143.2104,,
18,"AW","","","",12.5000,-69.9667,,
19,"AZ","","","",40.5000,47.5000,,
20,"BA","","","",44.0000,18.0000,,
21,"BB","","","",13.1667,-59.5333,,
22,"BD","","","",23.7000,90.3750,,
23,"BE","","","",50.8500,4.3500,,
24,"BF","","","",13.0000,-2.0000,,
25,"BG","","","",42.7000,23.3333,,
26,"BH","","","",26.0000,50.5500,,
27,"BI","","","",-3.5000,30.0000,,
28,"BJ","","","",9.5000,2.2500,,
29,"BM","","","",32.3333,-64.7500,,
30,"BN","","","",4.5000,114.6667,,
31,"BO","","","",-17.0000,-65.0000,,
32,"BR","","","",-22.8305,-43.2192,,
33,"BS","","","",24.2500,-76.0000,,
34,"BT","","","",27.5000,90.5000,,
35,"BV","","","",-54.4333,3.4000,,
36,"BW","","","",-22.0000,24.0000,,
37,"BY","","","",53.0000,28.0000,,
38,"BZ","","","",17.2500,-88.7500,,
39,"CA","","","",43.6319,-79.3716,,
40,"CC","","","",-12.5000,96.8333,,
41,"CD","","","",0.0000,25.0000,,
42,"CF","","","",7.0000,21.0000,,
43,"CG","","","",-1.0000,15.0000,,
44,"CH","","","",47.1449,8.1551,,
45,"CI","","","",8.0000,-5.0000,,
46,"CK","","","",-21.2333,-159.7667,,
47,"CL","","","",-33.4378,-70.6503,,
48,"CM","","","",6.0000,12.0000,,
49,"CN","","","",34.7725,113.7266,,
50,"CO","","","",4.5981,-74.0758,,
51,"CR","","","",10.0000,-84.0000,,
52,"CU","","","",21.5000,-80.0000,,
53,"CV","","","",15.1111,-23.6167,,
54,"CX","","","",-10.5000,105.6667,,
55,"CY","","","",35.0000,33.0000,,
56,"CZ","","","",50.0848,14.4112,,
57,"DE","","","",51.2993,9.4910,,
58,"DJ","","","",11.5000,43.0000,,
59,"DK","","","",55.7123,12.0564,,
60,"DM","","","",15.4167,-61.3333,,
61,"DO","","","",19.0000,-70.6667,,
62,"DZ","","","",36.7642,3.1468,,
63,"EC","","","",-2.0000,-77.5000,,
64,"EE","","","",59.0000,26.0000,,
65,"EG","","","",30.0355,31.2230,,
66,"EH","","","",24.5000,-13.0000,,
67,"ER","","","",15.0000,39.0000,,
68,"ES","","","",40.4172,-3.6840,,
69,"ET","","","",8.0000,38.0000,,
70,"FI","","","",60.1708,24.9375,,
71,"FJ","","","",-18.0000,175.0000,,
72,"FK","","","",-51.7500,-59.0000,,
73,"FM","","","",6.9167,158.2500,,
74,"FO","","","",62.0000,-7.0000,,
75,"FR","","","",48.8582,2.3387,,
76,"GA","","","",-1.0000,11.7500,,
77,"GB","","","",51.4964,-0.1224,,
78,"GD","","","",12.1167,-61.6667,,
79,"GE","","","",42.0000,43.5000,,
80,"GF","","","",4.0000,-53.0000,,
81,"GH","","","",8.0000,-2.0000,,
82,"GI","","","",36.1833,-5.3667,,
83,"GL","","","",72.0000,-40.0000,,
84,"GM","","","",13.4667,-16.5667,,
85,"GN","","","",11.0000,-10.0000,,
86,"GP","","","",16.2500,-61.5833,,
87,"GQ","","","",2.0000,10.0000,,
88,"GR","","","",37.9667,23.7167,,
89,"GS","","","",-54.5000,-37.0000,,
90,"GT","","","",15.5000,-90.2500,,
91,"GU","","","",13.4667,144.7833,,
92,"GW","","","",12.0000,-15.0000,,
93,"GY","","","",5.0000,-59.0000,,
94,"HK","","","",22.2500,114.1667,,
95,"HM","","","",-53.1000,72.5167,,
96,"HN","","","",15.0000,-86.5000,,
97,"HR","","","",45.1667,15.5000,,
98,"HT","","","",19.0000,-72.4167,,
99,"HU","","","",47.4925,19.0514,,
100,"ID","","","",-6.1750,106.8286,,
101,"IE","","","",53.3472,-6.2439,,
102,"IL","","","",31.5000,34.7500,,
103,"IN","","","",20.0000,77.0000,,
104,"IO","","","",-6.0000,71.5000,,
105,"IQ","","","",33.0000,44.0000,,
106,"IR","","","",35.6961,51.4231,,
107,"IS","","","",65.0000,-18.0000,,
108,"IT","","","",43.1479,12.1097,,
109,"JM","","","",18.2500,-77.5000,,
110,"JO","","","",31.0000,36.0000,,
111,"JP","","","",35.6900,139.6900,,
112,"KE","","","",1.0000,38.0000,,
113,"KG","","","",41.0000,75.0000,,
114,"KH","","","",13.0000,105.0000,,
115,"KI","","","",1.4167,173.0000,,
116,"KM","","","",-12.1667,44.2500,,
117,"KN","","","",17.3333,-62.7500,,
118,"KP","","","",40.0000,127.0000,,
119,"KR","","","",37.5112,126.9741,,
120,"KW","","","",29.3375,47.6581,,
121,"KY","","","",19.5000,-80.5000,,
122,"KZ","","","",48.0000,68.0000,,
123,"LA","","","",18.0000,105.0000,,
124,"LB","","","",33.8333,35.8333,,
125,"LC","","","",13.8833,-61.1333,,
126,"LI","","","",47.1667,9.5333,,
127,"LK","","","",7.0000,81.0000,,
128,"LR","","","",6.5000,-9.5000,,
129,"LS","","","",-29.5000,28.5000,,
130,"LT","","","",56.0000,24.0000,,
131,"LU","","","",49.7500,6.1667,,
132,"LV","","","",57.0000,25.0000,,
133,"LY","","","",25.0000,17.0000,,
134,"MA","","","",32.0000,-5.0000,,
135,"MC","","","",43.7333,7.4000,,
136,"MD","","","",47.0188,28.8128,,
137,"MG","","","",-20.0000,47.0000,,
138,"MH","","","",9.0000,168.0000,,
139,"MK","","","",41.8333,22.0000,,
140,"ML","","","",17.0000,-4.0000,,
141,"MM","","","",22.0000,98.0000,,
142,"MN","","","",46.0000,105.0000,,
143,"MO","","","",22.1667,113.5500,,
144,"MP","","","",15.2000,145.7500,,
145,"MQ","","","",14.6667,-61.0000,,
146,"MR","","","",20.0000,-12.0000,,
147,"MS","","","",16.7500,-62.2000,,
148,"MT","","","",35.8333,14.5833,,
149,"MU","","","",-20.2833,57.5500,,
150,"MV","","","",3.2500,73.0000,,
151,"MW","","","",-13.5000,34.0000,,
152,"MX","","","",19.4371,-99.0111,,
153,"MY","","","",2.5000,112.5000,,
154,"MZ","","","",-18.2500,35.0000,,
155,"NA","","","",-22.0000,17.0000,,
156,"NC","","","",-21.5000,165.5000,,
157,"NE","","","",16.0000,8.0000,,
158,"NF","","","",-29.0333,167.9500,,
159,"NG","","","",10.0000,8.0000,,
160,"NI","","","",13.0000,-85.0000,,
161,"NL","","","",52.3824,4.8995,,
162,"NO","","","",59.9500,10.7500,,
163,"NP","","","",28.0000,84.0000,,
164,"NR","","","",-0.5333,166.9167,,
165,"NU","","","",-19.0333,-169.8667,,
166,"NZ","","","",-41.0000,174.0000,,
167,"OM","","","",21.0000,57.0000,,
168,"PA","","","",9.0000,-80.0000,,
169,"PE","","","",-12.0433,-77.0283,,
170,"PF","","","",-15.0000,-140.0000,,
171,"PG","","","",-6.0000,147.0000,,
172,"PH","","","",14.5955,120.9721,,
173,"PK","","","",30.0000,70.0000,,
174,"PL","","","",52.2394,21.0362,,
175,"PM","","","",46.8333,-56.3333,,
176,"PR","","","",18.2500,-66.5000,,
177,"PS","","","",32.0000,35.2500,,
178,"PT","","","",38.7139,-9.1394,,
179,"PW","","","",7.5000,134.5000,,
180,"PY","","","",-23.0000,-58.0000,,
181,"QA","","","",25.5000,51.2500,,
182,"RE","","","",-21.1000,55.6000,,
183,"RO","","","",46.0000,25.0000,,
184,"RU","","","",55.7386,37.6068,,
185,"RW","","","",-2.0000,30.0000,,
186,"SA","","","",25.0000,45.0000,,
187,"SB","","","",-8.0000,159.0000,,
188,"SC","","","",-4.5833,55.6667,,
189,"SD","","","",15.0000,30.0000,,
190,"SE","","","",59.3247,18.0560,,
191,"SG","","","",1.3667,103.8000,,
192,"SH","","","",-15.9333,-5.7000,,
193,"SI","","","",46.0000,15.0000,,
194,"SJ","","","",78.6352,21.9939,,
195,"SK","","","",48.6667,19.5000,,
196,"SL","","","",8.5000,-11.5000,,
197,"SM","","","",43.9333,12.4667,,
198,"SN","","","",14.0000,-14.0000,,
199,"SO","","","",10.0000,49.0000,,
200,"SR","","","",4.0000,-56.0000,,
201,"ST","","","",1.0000,7.0000,,
202,"SV","","","",13.8333,-88.9167,,
203,"SY","","","",35.0000,38.0000,,
204,"SZ","","","",-26.5000,31.5000,,
205,"TC","","","",21.7500,-71.5833,,
206,"TD","","","",15.0000,19.0000,,
207,"TF","","","",-43.0000,67.0000,,
208,"TG","","","",8.0000,1.1667,,
209,"TH","","","",13.7500,100.4667,,
210,"TJ","","","",39.0000,71.0000,,
211,"TK","","","",-9.0000,-172.0000,,
212,"TM","","","",40.0000,60.0000,,
213,"TN","","","",34.0000,9.0000,,
214,"TO","","","",-20.0000,-175.0000,,
215,"TR","","","",41.0214,28.9948,,
216,"TT","","","",11.0000,-61.0000,,
217,"TV","","","",-8.0000,178.0000,,
218,"TW","","","",23.5000,121.0000,,
219,"TZ","","","",-6.8227,39.2910,,
220,"UA","","","",50.4500,30.5233,,
221,"UG","","","",1.0000,32.0000,,
222,"UM","","","",19.2833,166.6000,,
223,"US","","","",37.7510,-97.8220,,
224,"UY","","","",-33.0000,-56.0000,,
225,"UZ","","","",41.0000,64.0000,,
226,"VA","","","",41.9000,12.4500,,
227,"VC","","","",13.2500,-61.2000,,
228,"VE","","","",8.0000,-66.0000,,
229,"VG","","","",18.5000,-64.5000,,
230,"VI","","","",18.3333,-64.8333,,
231,"VN","","","",16.0000,106.0000,,
232,"VU","","","",-16.0000,167.0000,,
233,"WF","","","",-13.3000,-176.2000,,
234,"WS","","","",-13.5833,-172.3333,,
235,"YE","","","",15.0000,48.0000,,
236,"YT","","","",-12.8333,45.1667,,
237,"RS","","","",44.0000,21.0000,,
238,"ZA","","","",-29.0000,24.0000,,
239,"ZM","","","",-15.0000,30.0000,,
240,"ME","","","",42.0000,19.0000,,
241,"ZW","","","",-20.0000,30.0000,,
242,"A1","","","",0.0000,0.0000,,
243,"A2","","","",0.0000,0.0000,,
244,"ZA","11","Cape Town","",-33.9258,18.4232,,
245,"ZA","06","Pretoria","",-25.7069,28.2294,,
246,"ZA","02","Pietermaritzburg","",-29.6168,30.3928,,
247,"ZA","10","Potchefstroom","",-26.7167,27.1000,,
248,"ZA","03","Bloemfontein","",-29.1211,26.2140,,
249,"ZA","02","Durban","",-29.8579,31.0292,,
250,"ZA","05","Grahamstown","",-33.3042,26.5328,,
251,"ZA","11","Stellenbosch","",-33.9346,18.8668,,
252,"ZA","06","Sandton","",-26.0500,27.9667,,
253,"ZA","06","Johannesburg","",-26.2052,28.0498,,
254,"ZA","05","Uitenhage","",-33.7576,25.3971,,
255,"ZA","06","Parkview","",-26.1653,28.0244,,
256,"ZA","11","Wynberg","",-33.9833,18.4000,,
257,"ZA","06","Bedfordview","",-26.1767,28.1422,,
258,"ZA","11","Parow","",-33.8972,18.5999,,
259,"ZA","06","Vanderbijlpark","",-26.7117,27.8379,,
260,"ZA","07","Middelburg","",-25.7751,29.4648,,
261,"ZA","06","Marshalltown","",-26.2000,28.0833,,
262,"ZA","05","East London","",-33.0111,27.9100,,
263,"ZA","06","Olifantsfontein","",-25.9493,28.2295,,
264,"ZA","06","Lynnwood","",-25.7597,28.2651,,
265,"ZA","06","Rosslyn","",-25.6242,28.0942,,
266,"ZA","06","Houghton","",-26.1624,28.0513,,
267,"ZA","06","Silverton","",-25.7259,28.3137,,
268,"ZA","11","Roggebaai","",-33.9167,18.4333,,
269,"ZA","06","Midrand","",-25.9636,28.1378,,
270,"ZA","05","Braamfontein","",-31.4113,26.4870,,
271,"BW","09","Gaborone","",-24.6464,25.9119,,
272,"ZA","11","Waverley","",-33.4165,19.2251,,
273,"ZA","06","Parktown","",-26.1821,28.0267,,
274,"ZA","05","Hogsback","",-32.5953,26.9402,,
275,"ZA","08","Modderfontein","",-28.8167,17.1667,,
276,"ZA","02","Umhlanga Rocks","",-29.7167,31.0667,,
277,"NE","08","Niamey","",13.5167,2.1167,,
278,"GA","08","Port-gentil","",-0.7167,8.7833,,
279,"MZ","04","Maputo","",-25.9653,32.5892,,
280,"DZ","01","Alger","",36.7525,3.0420,,
281,"ZA","11","Faure","",-34.0278,18.7485,,